voter_id,vote,age,sex,voting_method,neighborhood
16,"643,1501,1603",46,F,internet,Ursynów Północny
34,"1644|1462,637|639,1534,1072,1619|344,641,1501,1603,1787|643,1018,1027|210,1043|1075,1949,645",32,M,internet,Ursynów Północny
52,"1027,926|1534,1072,210|344",43,M,internet,Ursynów Południowy
60,"1027,1462|1619,1603,645,643|1075,641,1534|637|344,926,210,1072,1644|1043",29,F,internet,Zielony Ursynów
63,"637,643",32,F,internet,Zielony Ursynów
64,"1027,344,1075,1462",43,M,internet,Ursynów Południowy
75,"1644,1018,643,637|1072,344|1619,1534",42,M,internet,Ursynów Północny
76,"344,1603|1018,1534|637,1027|1619,1075,1072,1644,1501|641",43,M,internet,Ursynów Południowy
97,"1603|1949,639,926,344|1027|1534,643,1501,1644|1787,210,1072,1075|1462",41,F,internet,Ursynów Południowy
118,"1644,637,643,1027,210",30,F,internet,Ursynów Południowy
128,"210,1644,926,639,1619|643|1075,637,344,641|1072,1501|1043",28,M,internet,Zielony Ursynów
140,"643,1534,1619",33,M,internet,Zielony Ursynów
147,"641,1075|1072",32,F,internet,Ursynów Północny
170,"210,645,1534,1462,1072|344",31,F,internet,Ursynów Południowy
193,"1027|1949,1072|637,1043,1644,643,1462|210,926,1534,639,344",41,F,internet,Ursynów Północny
196,"1027,643,344,1534,637|210,645,1072,1619|1501,1644,641,1787",48,M,internet,Ursynów Północny
262,"1043,344,641,645,1072|210,1619,1075|1949,1534,1027|637,639,926,1603|643",31,F,internet,Ursynów Południowy
334,"1501,637,1027|1072,645,1534,1787|1075,1949,210,1018|344,926,639",41,M,internet,Ursynów Północny
336,"1534,1027,1619,1072|643,210|639",41,M,internet,Ursynów Południowy
354,"1949,641,1619,1603|1534,1018|1644,645|1787,210,643|344,1027,1072,637",34,F,internet,Ursynów Południowy
356,"645,344|210,1619,1075|1534",43,F,internet,Ursynów Północny
358,"1027|643,1787|210,344,1072,1619|637",31,F,internet,Ursynów Północny
364,"1501|210,1644,1534,645,344|1075|1027,1462,637",44,F,internet,Ursynów Południowy
379,"210,926,1072|643,1462,1619,645|1043,1534,641|344,637,1787,1949|1027,1018,1603",23,M,internet,Ursynów Północny
392,"643,1787,645,1072,1462|210,1027,344,1949,637|926,1534,1644",62,M,internet,Ursynów Południowy
398,1619,35,F,internet,Ursynów Południowy
399,"210,641,1027,344",21,F,internet,Ursynów Południowy
465,"637,344,1075|1619,1787,1501,926,210|645,1644|639|641,1027,1949,1043|1018,1072,643|1534|1603",39,F,internet,Ursynów Północny
484,"1534,1619,1072,1949,210|1075,344",30,M,internet,Zielony Ursynów
494,"1644,210|1787,645,1603|1027|1018|1075,637,1949,639|344,1534|1462,1072",40,F,internet,Ursynów Północny
531,"1043|1644,926|643|210,1027,1072|344,1075,1534|639,637,1462",29,M,internet,Ursynów Północny
543,"1027,1787|1534,643,210|1619,1043,344|1949",34,F,internet,Ursynów Północny
546,"210,637,1027,1534|1619,1462|344|1018,643",46,M,internet,Ursynów Południowy
553,"645,1027,1619,1644|643,344,1072|210,1949,637,1534,1501",67,M,internet,Ursynów Południowy
556,643,34,F,internet,Ursynów Północny
561,643,39,F,internet,Ursynów Północny
563,"210,643,1027,1949,645|344,1534,637,1644|1501,641|1462,1043|639,1619,1787",38,F,internet,Ursynów Północny
587,1534,35,F,internet,Zielony Ursynów
594,"344|1027|637,210,641,643",31,F,internet,Ursynów Południowy
651,"1787,210,1603,1619,1462|1043|1027,1018,344,1072|1644,643,645,1501|639,1534|926,637",37,F,internet,Ursynów Północny
656,"210|1075,1043,1027,1534,1644|645",38,F,internet,Ursynów Północny
717,"1462,643,1501,639",37,F,internet,Ursynów Północny
777,"344|1644,1027,643|639,1603,1075,1072,645|1534,926,210,1787",39,M,internet,Ursynów Południowy
806,"1534|1027,210|637|645,1603|1787|1043|641,1462,1644,344,1072|1075",23,M,internet,Ursynów Północny
849,1534,54,F,internet,Ursynów Południowy
851,"643|210|1043,344,1534",30,F,internet,Zielony Ursynów
861,"639,210,1644,1501|637,643,344,645|1075",42,F,internet,Ursynów Południowy
872,"210,344,637|1043,643,1534,639,1619|1462,1027",35,M,internet,Ursynów Południowy
906,"643,1072",41,F,internet,Zielony Ursynów
914,"210,1075,1534|1462,1644,1043|1619,1027,643,344",42,F,internet,Ursynów Południowy
915,"1027,637,1534,1075,210|344",33,M,internet,Zielony Ursynów
917,"344,210,641,643|1027,1462,645,639|1072,1018|1534",43,M,internet,Ursynów Południowy
927,"1603,637,1027,1462|1534|1072,344,210|1075|643|1644|1043",42,M,internet,Ursynów Południowy
963,344|1075,36,F,internet,Ursynów Południowy
965,1534,44,M,internet,Ursynów Południowy
974,210,45,M,internet,
1019,"1619|1075,210,344,1462|645,1534,639|1501,1644|643",12,M,internet,Ursynów Południowy
1024,"1075|643,344,210|639,1018,1043|641",35,F,internet,Zielony Ursynów
1040,210|1462,35,M,internet,Ursynów Południowy
1046,"1534,1949,210|1027,344",21,F,internet,Ursynów Północny
1086,1027,33,F,internet,Ursynów Północny
1149,344,29,F,internet,Ursynów Północny
1159,"344,1075,210|1072|1018,1534|1043,645,926,637,1644|1787|1462,641,1027",25,F,internet,Ursynów Południowy
1204,"1027,1619,210|1603,1534,1075|344,1644,643|1501|639",10,M,internet,Ursynów Południowy
1227,"210,643,645,1072,1644|344",34,F,internet,Ursynów Południowy
1228,"1462,210|1043,1075,641|1027|645|643,344|1644,1534,637",28,M,internet,Ursynów Północny
1234,"641,1462,1027,1534,645|637|344|1043,1603|1075,1949,1072,210|1619,643|1018,1787",22,F,internet,Ursynów Północny
1249,"637,643|1501,1075,1534,210,1644|344",37,F,internet,Zielony Ursynów
1256,"344,1072,1075,1501,1462",39,F,internet,Ursynów Południowy
1257,"1075,344,1072,1462|637,1949|210,1501,1043|1027,1619,641,1534,926|643,1644",26,M,internet,Ursynów Południowy
1258,"210,1075|639",35,M,internet,Ursynów Północny
1262,"643|210,1072|1603|1018,1534,1619|926|1027,1787,637,1462,1644|344,641|1043,639,645,1949",47,F,internet,Ursynów Południowy
1290,"1534,641,1619",43,F,internet,Zielony Ursynów
1301,"210|1949,1644,344,637|1027,1534,643,641,1072|926,639|1075",33,F,internet,Zielony Ursynów
1304,"344,1075|1018,1462,1619|1534,639,1043,1787,1949|1027,643|210|637,1072",35,F,internet,Ursynów Południowy
1315,1027,45,F,internet,Ursynów Południowy
1343,"1018,344,1075,1072|637,210,1644|1534",34,M,internet,Zielony Ursynów
1360,"344,1501,637,1043,1027|643|210|926,1534|1949,1603|1462,1072,1644|639",37,M,internet,Ursynów Północny
1406,1534|344,54,M,internet,Ursynów Południowy
1419,"344|643,926|1027,210,637|1787,1462,1534",28,M,internet,Ursynów Północny
1491,"641,210|926,1462|1534,1501,1072,637|643|1075|344,1027",39,M,internet,Ursynów Południowy
1519,"210,1018,1027,1072,639|643|1644,344,1534,1462",49,F,internet,Ursynów Północny
1542,"637,639|1534,643|210,344,1027",39,F,internet,Ursynów Północny
1545,"926,1027|1603|637|1075,344,1534,641,1644|1462,210,639,643|1072",68,F,internet,Ursynów Północny
1549,"1787|643|639,1534,926,1072|1462|1949,637|1603,344|1644,1075,1501,210|1027",29,F,internet,Ursynów Południowy
1587,210,63,M,internet,Ursynów Południowy
1632,"643,210,639,637,641|1603,344|1072|1027,1534|926",35,F,internet,Ursynów Południowy
1635,"1075,1027,643",49,F,internet,Ursynów Północny
1663,"344,1462|210",39,F,internet,Ursynów Południowy
1676,"210,1534",25,F,internet,Ursynów Południowy
1683,"210,643,344",30,M,internet,Ursynów Południowy
1722,"1075|926,637,645,210|1603,643|1072,1787,344,1644|639,1619|1027,1018,1043,1534|1949,1462",32,M,internet,Ursynów Południowy
1728,"344,1027,210",45,F,internet,Ursynów Północny
1749,"1603,1027,210,639|344,643,637|1462",38,F,internet,Ursynów Południowy
1771,643,37,F,internet,Ursynów Północny
1772,"1534,210,1072,1787,344",39,M,internet,Ursynów Północny
1789,1027,36,M,internet,Zielony Ursynów
1793,"1043,639,210,643,1534|637,1072|926,1462,1027|344",64,M,internet,Ursynów Południowy
1813,210,7,F,internet,Ursynów Południowy
1831,"637,210,344|1501|1619,1787|1644,1462|639|1018,1534|1043,1075,1027,641,645|643,1603,1949|1072",29,M,internet,Ursynów Północny
1861,"1644|639,643|1619,1027,1534,1462|1018,1075,344|637,1072|210",38,M,internet,Ursynów Północny
1864,"1501,1072|1619,645|1075|1462,1027,1043,643|641,210,344,1644|637",33,M,internet,Ursynów Północny
1870,210,5,M,internet,Ursynów Południowy
1882,"637,1619|1043,643,1949|1027,1501,210,344|1644,1075,1534,1462",26,F,internet,Ursynów Północny
1892,"1501,1462,210,1072|926|1534,645|643|1075,344,1027",17,F,internet,Ursynów Południowy
1896,"210,639,1462,1787|641,1949,637,1603,1075|645,1043,1018,344|643|1027,1619,1534",12,F,internet,Ursynów Północny
1917,"1534,1043,645,1787,643|1075,1027|1949|637",46,M,internet,Ursynów Północny
1934,"1027,1462,210,1072",43,M,internet,Ursynów Północny
1955,"344,1072,1027",37,F,internet,Ursynów Północny
1967,"210,1018|1534|344,1072|1075|1027,1644,639,1462",53,F,internet,Ursynów Południowy
1976,"643,1027|344,1072,639,210|637",21,F,internet,Ursynów Południowy
2005,"210,643,637|1501,1072|1075,344|1534",35,F,internet,Ursynów Południowy
2007,"643,1619,1043,637,1462|639|1644,344,1027,1018,641|1072,210,1075,645",37,F,internet,Ursynów Południowy
2028,643,34,F,internet,Ursynów Południowy
2067,"344,643,1534,1462",38,F,internet,Ursynów Południowy
2076,"1644|1787,1072,344,1534|1619,1018,637,1027,643|641,1075,1043,1603|210,645,639",34,F,internet,Ursynów Południowy
2081,"643,1462,1075|1027,637,645,1072,344|1619|1534,210",38,M,internet,Ursynów Północny
2088,1027,7,M,internet,Ursynów Południowy
2110,"1949,1072,1462,344,210|643,1534|637,1027",24,M,internet,Ursynów Północny
2133,"641|643,344",37,F,internet,Ursynów Północny
2140,"1619|643|1949|645,344|210,1027|637,1644|1603,1075,1501,1072|639,1534,1043",33,F,internet,Ursynów Północny
2146,1027,62,F,internet,Ursynów Południowy
2148,"210|1072|643,1534,344",39,F,internet,Ursynów Południowy
2158,"643,639,1075|1462,344,1949,1043,637|1534|1018,1027|1787,1072,210,641",43,F,internet,Zielony Ursynów
2178,"1534|1072,210,1644",34,M,internet,Ursynów Północny
2195,"637,1949|1072,1534|1075|645,1603|1619,643,1027,1787|1043,1018,641,210,344|639,926",32,F,internet,Ursynów Południowy
2210,"210,643,1949,1072,639|1018,641|637,1027,344|1534|1501",42,M,internet,Ursynów Południowy
