voter_id,vote,age,sex,education
2309,"2|15,31|41|8,43|22,21|5|14|42,13,3|47|36,12,23|37",25,M,Graduate degree
2439,"23,31,12|22,41",68,F,College
1544,"47,22,33|50,31,13|41|5|3,12",70,F,Graduate degree
1033,"3,21|41,33|47,22|23|14",33,F,College
1034,"13|22|21,23,3|2",30,M,College
1673,"33,22,8|13,36,3|42,41,15|23,5|43,21|50,2|31,47,12",33,F,Graduate degree
1807,"5|3|21,2,22|37|12|50|13,33,43|8,14|41",50,F,College
2063,"33,37,36|14|47|3,43,2|50|12|5,42|21|22,15|13|41|8|23,31",25,M,Graduate degree
1045,"14|12,8,50|21|42|3,47|5|2,43,41",40,M,College
1813,"13,33,3|14,12,41|31,36|15,23|21,2",47,F,College
1047,"50,2|21|22|3,31|33,5,37|12,14,13|42,23",31,F,Graduate degree
2203,"37|12,41|43|31,42,47|50|13,22|14,3|33,5,21",57,M,Graduate degree
1053,"42|14,37|36,33,3|21,12|47,43|23|2",29,M,Graduate degree
1054,"22|3,14|41,21,50|12",26,M,Graduate degree
2335,"22,13,33|37,36|41|14|12,31,23",40,F,Graduate degree
2463,"15|13,2,31",33,F,College
1827,"41,13,43|33",18,M,High School/GED
937,"43|33,47|14,13,41|23|21,12|5,3|2|42,31|22",37,M,Graduate degree
2171,"50,3,37|41,15|13|23,31,47|8|33|42,21,14|5,2,22|43,12|36",30,M,Graduate degree
941,"37|22,47|21,42|50|8,14",28,F,Graduate degree
943,"36|3,31|14|21|47,23,50|41,12|43,22|2,42",57,F,College
944,"12,37|31,41,5|22|13|15|21|43,3,47|2,23|42,50",40,F,Graduate degree
945,"2,41,14|37,3|42|5,43,13|50,47,8|23,33,21|36|31|22,12",47,F,Graduate degree
946,"21|22,37,50|41,33|5|47,42",33,M,Graduate degree
947,"50|15,37,14|3,21,2|33|47,41,22|12,13|23,31|43,36",26,F,College
948,"12,5|14,33|41,8|13,3|22,2|47,42|36|23|37|43|21|50,31",36,F,Graduate degree
1584,"14|37,3|8,13|5|2|21|22,15|50|43|42|12,31|41,47|23,36|33",49,M,Graduate degree
2097,"23,3|21,41|12,47|2|22,14|13,5,31",47,M,Graduate degree
951,"22|31,41|12,37|50,14|21,13|33,5|42,15|36|3",53,F,Graduate degree
952,"8|47,37,31|21,22,2|50,3|5",27,F,College
2361,"22,21|41|36,43,14|50,12,42|37|33,31|13|3,8|2,5,15|47,23",33,M,College
2235,"50|42,13|12|43|22|36,8|15|41|5,3|21,33,23|37,2,31|14|47",25,F,College
2236,"23,14,21|31",26,M,Graduate degree
957,"37,3,42|23,36|31,43|2,13,22|41|12|5|21|14",22,F,Graduate degree
1087,"23,2,13|8|21,5|12|33,47,36|14,41,22|43,50,37|3,42|31|15",22,M,High School/GED
2496,"33,41,3|21,31,47|14|13|12,42|22,50,23",50,F,College
2497,"43|33|41,3,47|2,8|31,42|23",20,M,College
1092,"13|21,8,12|47|42,31,43|33|14",34,F,High School/GED
1607,"47,14,22|31|42|5,37,33|43,23|36|41,21|50|12,2|3|8",36,F,College
2122,"36,3|47|21,23|42|15|5,31|14,33|50,8|41,13",33,M,Graduate degree
1099,"33|41|14,31|8,21|23|22,42|2,3|50,37|47",48,F,College
1100,"8,15|14,21,3|13|22,31,23|41",27,F,Graduate degree
1101,"21,31,36|50|47,37|22,33,12|41|42|13|8,23",29,F,High School/GED
1867,"41,12,15|22,23|2|36,31|13,47,50|3,33|37,43|14,21,8",36,M,Graduate degree
1104,"3,15,31|12|22|41,13,33|23|21,14,37|50,2|42,47",42,M,Graduate degree
979,"14,41,21",29,M,Graduate degree
1107,"33,31,42|21,23,3|12|2|43,5|41,37,50|47|14,36",28,M,Graduate degree
2004,"12,22|47,42,50|21,13",23,M,College
1110,"2,5,14|33|23,41|22,15,8|42,36,47|50,12",29,M,College
2389,"23|37,21|12,42,8|33|50|36,47|3,41,22|13",21,M,College
1112,"43,8,13|50,33|36|21,47|41,22|3,31,42|2",52,M,College
1114,"47,42,14|22,12,36|5,8|13|41,43|37,33,50|3,21,23|2",54,F,College
1505,"42,47,50|31",18,M,High School/GED
1633,"22,12|31,21,37|50,13",31,F,High School/GED
1761,"14,13,33|37,21|47|8,3|43|2",61,F,Graduate degree
2147,"3|47,15|41,50,23|43,2,12|5,31,42|37,36,33|21,14|22|8",49,F,College
1637,"13,21,14|12,37",35,M,Graduate degree
1510,"14,13|42",43,F,College
1511,"13|21,3|5|42,33|2,12|8,41,22|14,47,50|37,23",32,M,Graduate degree
1638,"23,41|3|22,42|13,21",27,M,Graduate degree
1639,"3,22,23|5,37",25,F,College
1516,"47,37|50|22|33|21,14,2|12",23,M,College
1517,"12,31|42,33,41|15|13,3,5|36,47|50,37|23,21",28,M,Graduate degree
1647,"50,3,47|36|5,43|41,2,42|8",24,M,Graduate degree
1520,"37,43,2|33,14,3|12,8|23,13,42|47,21,36|50|15,41|31,5",34,F,Graduate degree
2287,"50,23,31|3,22|36,33,12",36,M,Graduate degree
1138,"3|50,21,47|23|2",54,M,Graduate degree
2415,"43|22,31,3|41,12|21|2,42,14|37",31,F,High School/GED
1140,"42|3,50|2|8",18,M,Graduate degree
2544,"2|37,22|47,14,3|21,50,33|43|23,31",51,F,High School/GED
1526,"3,42,5|41,14,43|33,37|23,36|2,50|12,13,8|21,15|47,22",31,F,Graduate degree
2038,"21|13,2,47|3,43|14,41,12|50,37,36",60,M,Graduate degree
1016,"22,3,50",36,F,College
1531,"21,12,33|14|2,31|43",43,M,Graduate degree
1532,"50,13,23|22|42,37,47|3|31|33,41|12",25,F,Graduate degree
