,Utilitarian,Egalitarian,Nash,AVG Prop
ATR |.|,9.0,0,0.0,2.25456
ATR |.| RSG(1/1),9.0,0,0.0,3.1183199999999998
ATR |.| RSG(1/2),9.0,0,0.0,3.1183199999999998
ATR |.| RSG(1/5),9.0,0,0.0,3.1183199999999998
ATR c,7.0,0,0.0,3.63072
ATR c RSG(1/1),9.0,0,0.0,3.1183199999999998
ATR c RSG(1/2),9.0,0,0.0,3.1183199999999998
ATR c RSG(1/5),9.0,0,0.0,3.1183199999999998
ATR 1,9.0,0,0.0,2.25456
ATR 1 RSG(1/1),9.0,0,0.0,3.1183199999999998
ATR 1 RSG(1/2),9.0,0,0.0,3.1183199999999998
ATR 1 RSG(1/5),9.0,0,0.0,3.1183199999999998
PBCC,4.207792207792208,0,0.0,1.5459459740259742
PBCC RSG(1/1),8.0,0,0.0,2.85846
PBCC RSG(1/2),8.0,0,0.0,2.85846
PBCC RSG(1/5),9.0,0,0.0,3.1183199999999998
